week,criminal_damage,week_as_week
2019-09-29,70,2019 W39
2019-10-06,56,2019 W40
2019-10-13,67,2019 W41
2019-10-20,61,2019 W42
2019-10-27,64,2019 W43
2019-11-03,54,2019 W44
2019-11-10,56,2019 W45
2019-11-17,51,2019 W46
2019-11-24,69,2019 W47
2019-12-01,44,2019 W48
2019-12-08,48,2019 W49
2019-12-15,55,2019 W50
2019-12-22,59,2019 W51
